timestamp,open,high,low,close,volume
2024-09-17,54.0,54.0,53.0,53.0,13895100.0
2024-09-18,54.0,55.0,52.0,53.0,32870200.0
2024-09-19,53.0,54.0,53.0,54.0,17871100.0
2024-09-20,54.0,54.0,53.0,54.0,6862100.0
2024-09-23,54.0,56.0,53.0,54.0,38502800.0
2024-09-24,54.0,56.0,53.0,54.0,65479700.0
2024-09-25,54.0,55.0,53.0,53.0,11355000.0
2024-09-26,54.0,54.0,53.0,53.0,7480300.0
2024-09-27,54.0,54.0,52.0,53.0,16831200.0
2024-09-30,53.0,54.0,52.0,53.0,14237500.0
2024-10-01,53.0,54.0,52.0,52.0,12908500.0
2024-10-02,52.0,54.0,51.0,53.0,25596200.0
2024-10-03,53.0,55.0,52.0,55.0,40657400.0
2024-10-04,54.0,55.0,53.0,54.0,30592000.0
2024-10-07,54.0,55.0,53.0,53.0,3437000.0
2024-10-08,54.0,54.0,53.0,54.0,5821500.0
2024-10-09,54.0,54.0,52.0,53.0,9790600.0
2024-10-10,54.0,54.0,53.0,53.0,1506900.0
2024-10-11,53.0,54.0,53.0,53.0,2276000.0
2024-10-14,53.0,54.0,53.0,54.0,2659700.0
2024-10-15,54.0,54.0,53.0,53.0,9171500.0
2024-10-16,53.0,54.0,52.0,53.0,6428900.0
2024-10-17,53.0,54.0,53.0,53.0,9446800.0
2024-10-18,53.0,55.0,53.0,54.0,48362800.0
2024-10-21,54.0,55.0,53.0,55.0,14477700.0
2024-10-22,55.0,56.0,54.0,56.0,39163400.0
2024-10-23,64.0,75.0,58.0,58.0,513173500.0
2024-10-24,59.0,61.0,57.0,58.0,85134300.0
2024-10-25,59.0,59.0,56.0,56.0,35491100.0
2024-10-28,56.0,57.0,54.0,55.0,51725600.0
2024-10-29,55.0,56.0,54.0,55.0,18881300.0
2024-10-30,54.0,55.0,54.0,55.0,11203300.0
2024-10-31,54.0,56.0,54.0,55.0,18111500.0
2024-11-01,55.0,56.0,54.0,54.0,11670200.0
2024-11-04,54.0,55.0,53.0,54.0,20594600.0
2024-11-05,54.0,54.0,52.0,52.0,18843200.0
2024-11-06,52.0,53.0,52.0,52.0,8214600.0
2024-11-07,52.0,53.0,52.0,53.0,11862600.0
