timestamp,open,high,low,close,volume
2024-08-14,74.0,74.0,67.0,68.0,96700.0
2024-08-15,74.0,74.0,67.0,67.0,251200.0
2024-08-16,73.0,73.0,67.0,68.0,3100.0
2024-08-19,69.0,69.0,66.0,67.0,227700.0
2024-08-20,67.0,70.0,66.0,67.0,39700.0
2024-08-21,67.0,69.0,67.0,68.0,12400.0
2024-08-22,69.0,71.0,66.0,68.0,94200.0
2024-08-23,69.0,71.0,66.0,70.0,9300.0
2024-08-26,69.0,73.0,68.0,69.0,182800.0
2024-08-27,73.0,73.0,69.0,70.0,4900.0
2024-08-28,77.0,77.0,67.0,70.0,121200.0
2024-08-29,73.0,76.0,69.0,70.0,207500.0
2024-08-30,76.0,76.0,68.0,71.0,116300.0
2024-09-02,78.0,78.0,68.0,69.0,111200.0
2024-09-03,75.0,75.0,69.0,70.0,38200.0
2024-09-04,77.0,77.0,65.0,69.0,146500.0
2024-09-05,71.0,71.0,69.0,70.0,12300.0
2024-09-06,70.0,70.0,70.0,70.0,200.0
2024-09-09,70.0,71.0,68.0,71.0,20700.0
2024-09-10,77.0,77.0,70.0,70.0,600.0
2024-09-11,70.0,70.0,69.0,69.0,3200.0
2024-09-12,67.0,70.0,67.0,70.0,1500.0
2024-09-13,77.0,77.0,67.0,69.0,40800.0
2024-09-17,69.0,70.0,69.0,70.0,64500.0
2024-09-18,77.0,77.0,68.0,69.0,58200.0
2024-09-19,70.0,70.0,69.0,69.0,36900.0
2024-09-20,69.0,70.0,69.0,70.0,14100.0
2024-09-23,70.0,70.0,68.0,70.0,21500.0
2024-09-24,77.0,77.0,67.0,68.0,336100.0
2024-09-25,74.0,74.0,65.0,68.0,635400.0
2024-09-26,74.0,74.0,65.0,68.0,98300.0
2024-09-27,68.0,69.0,67.0,67.0,22200.0
2024-09-30,68.0,68.0,67.0,67.0,1600.0
2024-10-01,67.0,68.0,65.0,68.0,121100.0
2024-10-02,67.0,68.0,65.0,67.0,831500.0
2024-10-03,67.0,69.0,66.0,68.0,7100.0
2024-10-04,69.0,70.0,68.0,69.0,295800.0
2024-10-07,69.0,69.0,65.0,66.0,348100.0
2024-10-08,67.0,69.0,65.0,65.0,296900.0
2024-10-09,66.0,67.0,66.0,67.0,6600.0
2024-10-10,65.0,73.0,63.0,64.0,664700.0
2024-10-11,64.0,66.0,64.0,66.0,27300.0
2024-10-14,66.0,70.0,65.0,68.0,56100.0
2024-10-15,74.0,74.0,66.0,67.0,15100.0
2024-10-16,66.0,69.0,64.0,64.0,537500.0
2024-10-17,65.0,67.0,64.0,66.0,551300.0
2024-10-18,66.0,68.0,66.0,68.0,120900.0
2024-10-21,68.0,69.0,68.0,68.0,98500.0
2024-10-22,69.0,69.0,68.0,68.0,37100.0
2024-10-23,73.0,73.0,68.0,71.0,96700.0
2024-10-24,71.0,71.0,68.0,70.0,81600.0
2024-10-25,70.0,70.0,66.0,69.0,193500.0
2024-10-28,74.0,74.0,64.0,70.0,331500.0
2024-10-29,71.0,71.0,68.0,70.0,72500.0
2024-10-30,67.0,69.0,65.0,69.0,101500.0
2024-10-31,69.0,69.0,67.0,69.0,268000.0
2024-11-01,68.0,69.0,67.0,69.0,18200.0
2024-11-04,67.0,67.0,66.0,66.0,350300.0
2024-11-05,66.0,72.0,65.0,66.0,554300.0
2024-11-06,68.0,68.0,66.0,66.0,72200.0
2024-11-07,66.0,70.0,66.0,66.0,30000.0
2024-11-08,69.0,69.0,66.0,66.0,89800.0
2024-11-11,65.0,70.0,65.0,70.0,63000.0
2024-11-12,66.0,70.0,66.0,68.0,177500.0
2024-11-13,70.0,70.0,66.0,69.0,112000.0
2024-11-14,69.0,75.0,69.0,74.0,77500.0
2024-11-15,74.0,81.0,67.0,70.0,256400.0
2024-11-18,75.0,77.0,66.0,70.0,370700.0
2024-11-19,70.0,77.0,67.0,71.0,484700.0
2024-11-20,71.0,71.0,64.0,66.0,717100.0
2024-11-21,67.0,69.0,64.0,66.0,525200.0
2024-11-22,66.0,69.0,66.0,68.0,706500.0
2024-11-25,68.0,70.0,67.0,70.0,108200.0
2024-11-26,67.0,70.0,65.0,70.0,16400.0
2024-11-28,67.0,70.0,67.0,69.0,900.0
2024-11-29,69.0,72.0,69.0,71.0,174000.0
2024-12-02,67.0,71.0,67.0,67.0,4800.0
2024-12-03,67.0,69.0,66.0,68.0,137000.0
2024-12-04,68.0,69.0,66.0,69.0,700.0
2024-12-05,69.0,75.0,68.0,75.0,625900.0
2024-12-06,75.0,82.0,75.0,82.0,1161500.0
2024-12-09,90.0,90.0,83.0,90.0,281800.0
2024-12-10,92.0,99.0,91.0,99.0,385100.0
2024-12-11,108.0,108.0,101.0,108.0,1107600.0
2024-12-12,118.0,118.0,98.0,98.0,2400700.0
2024-12-13,95.0,95.0,89.0,89.0,167200.0
2024-12-16,81.0,81.0,81.0,81.0,187000.0
2024-12-17,73.0,88.0,73.0,75.0,933900.0
2024-12-18,75.0,82.0,74.0,80.0,137700.0
2024-12-19,85.0,87.0,72.0,81.0,236400.0
2024-12-20,81.0,87.0,77.0,77.0,589200.0
2024-12-23,80.0,80.0,74.0,76.0,209700.0
2024-12-24,77.0,83.0,74.0,80.0,292100.0
2024-12-27,80.0,82.0,75.0,77.0,55200.0
2024-12-30,75.0,82.0,71.0,78.0,815100.0
2025-01-02,80.0,85.0,80.0,85.0,784000.0
2025-01-03,90.0,91.0,77.0,77.0,198700.0
2025-01-06,77.0,83.0,75.0,77.0,48000.0
2025-01-07,77.0,80.0,75.0,80.0,654500.0
2025-01-08,80.0,87.0,79.0,82.0,119900.0
2025-01-09,81.0,82.0,74.0,80.0,220800.0
2025-01-10,83.0,87.0,77.0,85.0,42700.0
2025-01-13,86.0,93.0,83.0,83.0,18500.0
2025-01-14,76.0,83.0,76.0,78.0,104600.0
2025-01-15,84.0,85.0,78.0,78.0,235600.0
2025-01-16,77.0,82.0,75.0,79.0,101300.0
2025-01-17,79.0,81.0,75.0,76.0,568100.0
2025-01-20,76.0,82.0,75.0,77.0,100600.0
2025-01-21,77.0,78.0,74.0,78.0,152600.0
