timestamp,open,high,low,close,volume
2024-08-14,29.0,31.0,28.0,31.0,885100.0
2024-08-15,31.0,31.0,28.0,29.0,293800.0
2024-08-16,30.0,31.0,29.0,30.0,279900.0
2024-08-19,30.0,32.0,29.0,31.0,718800.0
2024-08-20,31.0,33.0,31.0,32.0,947800.0
2024-08-21,32.0,32.0,31.0,32.0,100400.0
2024-08-22,32.0,34.0,31.0,33.0,1949100.0
2024-08-23,33.0,34.0,32.0,32.0,92700.0
2024-08-26,32.0,32.0,31.0,32.0,160700.0
2024-08-27,32.0,33.0,31.0,33.0,40300.0
2024-08-28,33.0,33.0,31.0,32.0,878800.0
2024-08-29,32.0,33.0,31.0,33.0,58100.0
2024-08-30,33.0,33.0,32.0,33.0,69100.0
2024-09-02,33.0,33.0,31.0,32.0,39500.0
2024-09-03,32.0,33.0,31.0,32.0,361500.0
2024-09-04,32.0,33.0,31.0,32.0,325600.0
2024-09-05,32.0,33.0,31.0,33.0,139100.0
2024-09-06,32.0,33.0,32.0,33.0,23600.0
2024-09-09,33.0,33.0,31.0,33.0,84700.0
2024-09-10,33.0,33.0,31.0,31.0,79600.0
2024-09-11,31.0,33.0,31.0,32.0,63300.0
2024-09-12,32.0,35.0,32.0,35.0,3480000.0
2024-09-13,35.0,37.0,34.0,35.0,239600.0
2024-09-17,36.0,36.0,32.0,34.0,4809200.0
2024-09-18,34.0,34.0,31.0,31.0,5266500.0
2024-09-19,31.0,33.0,31.0,33.0,1756900.0
2024-09-20,33.0,35.0,32.0,35.0,1464800.0
2024-09-23,35.0,38.0,34.0,35.0,5377200.0
2024-09-24,35.0,35.0,33.0,35.0,2255000.0
2024-09-25,34.0,34.0,32.0,33.0,602500.0
2024-09-26,34.0,34.0,32.0,34.0,529100.0
2024-09-27,34.0,34.0,32.0,34.0,4486300.0
2024-09-30,34.0,35.0,33.0,33.0,2418500.0
2024-10-01,33.0,35.0,33.0,35.0,2281800.0
2024-10-02,35.0,35.0,34.0,35.0,3989300.0
2024-10-03,36.0,36.0,33.0,34.0,1981900.0
2024-10-04,33.0,35.0,33.0,34.0,223400.0
2024-10-07,34.0,35.0,33.0,34.0,1570300.0
2024-10-08,34.0,35.0,33.0,35.0,527400.0
2024-10-09,35.0,35.0,34.0,34.0,1640000.0
2024-10-10,35.0,35.0,34.0,35.0,207400.0
2024-10-11,35.0,35.0,34.0,35.0,88100.0
2024-10-14,35.0,36.0,34.0,36.0,2280500.0
2024-10-15,36.0,38.0,33.0,37.0,875100.0
2024-10-16,37.0,38.0,35.0,36.0,217900.0
2024-10-17,37.0,38.0,36.0,37.0,187200.0
2024-10-18,37.0,37.0,35.0,37.0,77400.0
2024-10-21,37.0,37.0,35.0,36.0,70300.0
2024-10-22,37.0,37.0,35.0,36.0,120400.0
2024-10-23,36.0,36.0,34.0,35.0,180700.0
2024-10-24,36.0,38.0,35.0,37.0,241800.0
2024-10-25,37.0,37.0,35.0,35.0,159100.0
2024-10-28,35.0,37.0,35.0,35.0,522300.0
2024-10-29,35.0,36.0,34.0,35.0,285500.0
2024-10-30,35.0,36.0,34.0,35.0,258200.0
2024-10-31,35.0,35.0,33.0,35.0,107500.0
2024-11-01,34.0,35.0,33.0,34.0,364100.0
2024-11-04,33.0,34.0,33.0,33.0,191400.0
2024-11-05,34.0,34.0,32.0,34.0,142300.0
2024-11-06,35.0,35.0,33.0,34.0,236500.0
2024-11-07,33.0,36.0,33.0,35.0,1155800.0
2024-11-08,35.0,36.0,32.0,32.0,930400.0
2024-11-11,33.0,34.0,32.0,34.0,240900.0
2024-11-12,33.0,34.0,33.0,34.0,164400.0
2024-11-13,34.0,34.0,33.0,34.0,177800.0
2024-11-14,34.0,35.0,31.0,33.0,1184100.0
2024-11-15,34.0,35.0,34.0,34.0,589700.0
2024-11-18,34.0,35.0,32.0,33.0,152600.0
2024-11-19,34.0,36.0,30.0,34.0,25533700.0
2024-11-20,34.0,37.0,33.0,37.0,1515300.0
2024-11-21,36.0,40.0,35.0,37.0,3000900.0
2024-11-22,38.0,39.0,34.0,34.0,2462200.0
2024-11-25,35.0,36.0,33.0,35.0,377700.0
2024-11-26,35.0,36.0,34.0,36.0,323300.0
