timestamp,open,high,low,close,volume
2024-08-14,270.0,278.0,270.0,278.0,600.0
2024-08-15,280.0,280.0,280.0,280.0,100.0
2024-08-16,278.0,288.0,272.0,272.0,65700.0
2024-08-19,278.0,278.0,272.0,278.0,35100.0
2024-08-20,278.0,278.0,274.0,274.0,35200.0
2024-08-21,276.0,276.0,276.0,276.0,300.0
2024-08-22,278.0,278.0,274.0,274.0,30800.0
2024-08-23,274.0,274.0,274.0,274.0,0.0
2024-08-26,280.0,280.0,278.0,278.0,4400.0
2024-08-27,272.0,272.0,272.0,272.0,300.0
2024-08-28,272.0,272.0,272.0,272.0,100.0
2024-08-29,272.0,278.0,268.0,272.0,102800.0
2024-08-30,274.0,274.0,274.0,274.0,100.0
2024-09-02,274.0,274.0,268.0,274.0,600.0
2024-09-03,274.0,274.0,274.0,274.0,0.0
2024-09-04,274.0,276.0,274.0,276.0,1100.0
2024-09-05,274.0,276.0,270.0,276.0,1300.0
2024-09-06,270.0,340.0,270.0,326.0,939400.0
2024-09-09,328.0,332.0,260.0,266.0,900300.0
2024-09-10,270.0,290.0,266.0,268.0,324100.0
2024-09-11,264.0,278.0,262.0,266.0,147000.0
2024-09-12,272.0,272.0,258.0,264.0,174700.0
2024-09-13,268.0,268.0,252.0,256.0,15500.0
2024-09-17,266.0,266.0,250.0,262.0,94500.0
2024-09-18,268.0,268.0,254.0,260.0,17600.0
2024-09-19,262.0,262.0,256.0,260.0,33200.0
2024-09-20,262.0,262.0,232.0,256.0,64400.0
2024-09-23,260.0,298.0,254.0,266.0,896700.0
2024-09-24,268.0,278.0,260.0,270.0,58000.0
2024-09-25,270.0,272.0,258.0,258.0,25100.0
2024-09-26,258.0,264.0,256.0,256.0,3600.0
2024-09-27,262.0,270.0,256.0,270.0,15500.0
2024-09-30,262.0,262.0,258.0,262.0,16400.0
2024-10-01,264.0,270.0,262.0,270.0,15700.0
2024-10-02,268.0,270.0,260.0,266.0,14500.0
2024-10-03,266.0,266.0,240.0,256.0,150000.0
2024-10-04,256.0,256.0,242.0,246.0,46300.0
2024-10-07,260.0,260.0,246.0,254.0,84100.0
2024-10-08,258.0,258.0,246.0,254.0,4600.0
2024-10-09,258.0,258.0,248.0,256.0,1100.0
2024-10-10,248.0,256.0,246.0,250.0,5000.0
2024-10-11,252.0,256.0,252.0,254.0,4900.0
2024-10-14,254.0,258.0,254.0,256.0,6100.0
2024-10-15,256.0,272.0,256.0,270.0,13300.0
2024-10-16,270.0,286.0,248.0,262.0,902900.0
2024-10-17,264.0,288.0,262.0,262.0,234200.0
2024-10-18,262.0,262.0,258.0,258.0,8600.0
2024-10-21,258.0,260.0,254.0,254.0,14700.0
2024-10-22,252.0,286.0,252.0,262.0,228100.0
2024-10-23,268.0,272.0,262.0,262.0,19100.0
2024-10-24,262.0,264.0,258.0,258.0,21600.0
2024-10-25,258.0,258.0,258.0,258.0,4500.0
2024-10-28,258.0,268.0,256.0,268.0,20800.0
2024-10-29,272.0,272.0,260.0,268.0,12200.0
2024-10-30,264.0,268.0,264.0,268.0,2700.0
2024-10-31,268.0,268.0,268.0,268.0,3100.0
2024-11-01,268.0,268.0,262.0,268.0,800.0
2024-11-04,268.0,268.0,262.0,266.0,2700.0
2024-11-05,264.0,270.0,258.0,268.0,42000.0
2024-11-06,264.0,266.0,260.0,260.0,20700.0
2024-11-07,266.0,266.0,260.0,260.0,1000.0
2024-11-08,266.0,298.0,244.0,244.0,207200.0
2024-11-11,258.0,264.0,238.0,244.0,38100.0
2024-11-12,248.0,254.0,240.0,244.0,28900.0
2024-11-13,244.0,244.0,234.0,238.0,30700.0
2024-11-14,238.0,238.0,232.0,236.0,19900.0
2024-11-15,236.0,278.0,218.0,224.0,410800.0
2024-11-18,230.0,230.0,220.0,226.0,20100.0
2024-11-19,226.0,240.0,226.0,228.0,60700.0
2024-11-20,230.0,242.0,226.0,238.0,21600.0
2024-11-21,236.0,238.0,228.0,238.0,17400.0
2024-11-22,234.0,236.0,226.0,236.0,40800.0
2024-11-25,232.0,232.0,228.0,230.0,32500.0
2024-11-26,226.0,234.0,226.0,234.0,10600.0
2024-11-28,234.0,234.0,226.0,226.0,6100.0
2024-11-29,226.0,262.0,224.0,232.0,173300.0
2024-12-02,234.0,234.0,226.0,234.0,30500.0
2024-12-03,234.0,234.0,234.0,234.0,0.0
