timestamp,open,high,low,close,volume
2024-09-17,125.0,127.0,122.0,126.0,3220400.0
2024-09-18,126.0,127.0,125.0,125.0,2145900.0
2024-09-19,126.0,126.0,124.0,125.0,1464200.0
2024-09-20,125.0,126.0,123.0,124.0,3415600.0
2024-09-23,124.0,125.0,121.0,124.0,1581200.0
2024-09-24,124.0,124.0,122.0,123.0,490000.0
2024-09-25,124.0,124.0,122.0,123.0,1014600.0
2024-09-26,123.0,126.0,122.0,124.0,2537500.0
2024-09-27,125.0,126.0,123.0,123.0,2064400.0
2024-09-30,124.0,125.0,123.0,123.0,380300.0
2024-10-01,124.0,124.0,122.0,122.0,967500.0
2024-10-02,123.0,124.0,119.0,120.0,3942500.0
2024-10-03,120.0,121.0,117.0,118.0,1272700.0
2024-10-04,118.0,120.0,117.0,119.0,937200.0
2024-10-07,120.0,131.0,115.0,130.0,25832500.0
2024-10-08,131.0,144.0,121.0,142.0,24128200.0
2024-10-09,144.0,150.0,137.0,150.0,19347600.0
2024-10-10,151.0,188.0,147.0,184.0,81255000.0
2024-10-11,192.0,192.0,171.0,172.0,18460300.0
2024-10-14,172.0,204.0,170.0,186.0,89252500.0
2024-10-15,187.0,189.0,181.0,184.0,17083000.0
2024-10-16,186.0,198.0,185.0,189.0,71183500.0
2024-10-17,189.0,192.0,186.0,188.0,18577300.0
2024-10-18,188.0,191.0,185.0,186.0,13758600.0
2024-10-21,190.0,212.0,184.0,196.0,51948000.0
2024-10-22,196.0,200.0,194.0,196.0,12240100.0
2024-10-23,196.0,214.0,195.0,196.0,30521700.0
2024-10-24,200.0,202.0,190.0,193.0,7990800.0
2024-10-25,194.0,197.0,190.0,190.0,6686600.0
2024-10-28,190.0,190.0,169.0,181.0,12859400.0
2024-10-29,183.0,194.0,181.0,189.0,7291000.0
2024-10-30,190.0,192.0,184.0,189.0,3815700.0
2024-10-31,189.0,240.0,189.0,234.0,120530300.0
2024-11-01,236.0,236.0,216.0,218.0,21092400.0
2024-11-04,220.0,234.0,218.0,220.0,16293500.0
2024-11-05,222.0,236.0,196.0,210.0,33981600.0
2024-11-06,210.0,216.0,202.0,210.0,10622000.0
2024-11-07,210.0,226.0,210.0,214.0,16469200.0
2024-11-08,216.0,216.0,208.0,212.0,4103300.0
2024-11-11,212.0,216.0,194.0,200.0,11528800.0
2024-11-12,202.0,214.0,198.0,210.0,6683600.0
2024-11-13,214.0,214.0,200.0,200.0,5941600.0
2024-11-14,200.0,200.0,184.0,185.0,14518200.0
2024-11-15,185.0,208.0,175.0,204.0,12978200.0
2024-11-18,206.0,224.0,198.0,199.0,17525000.0
2024-11-19,199.0,214.0,195.0,212.0,11750100.0
2024-11-20,212.0,228.0,208.0,216.0,27857600.0
2024-11-21,216.0,234.0,216.0,232.0,49012000.0
2024-11-22,234.0,256.0,234.0,244.0,64134300.0
2024-11-25,246.0,248.0,236.0,238.0,20194400.0
2024-11-26,238.0,240.0,220.0,230.0,16774300.0
2024-11-28,238.0,240.0,224.0,230.0,9071900.0
2024-11-29,240.0,240.0,220.0,220.0,6550000.0
2024-12-02,222.0,238.0,216.0,238.0,8999000.0
2024-12-03,238.0,240.0,222.0,224.0,7583400.0
2024-12-04,228.0,228.0,216.0,220.0,6668400.0
2024-12-05,218.0,224.0,218.0,220.0,4565600.0
2024-12-06,220.0,224.0,216.0,220.0,2178100.0
2024-12-09,220.0,222.0,206.0,208.0,8396900.0
2024-12-10,206.0,218.0,202.0,206.0,16036800.0
2024-12-11,208.0,222.0,206.0,218.0,23099200.0
2024-12-12,220.0,248.0,220.0,236.0,51893100.0
2024-12-13,236.0,238.0,220.0,222.0,14858100.0
2024-12-16,222.0,234.0,220.0,228.0,6325000.0
2024-12-17,230.0,278.0,226.0,260.0,69724800.0
2024-12-18,262.0,272.0,240.0,246.0,47218000.0
2024-12-19,248.0,248.0,220.0,234.0,17561100.0
2024-12-20,236.0,242.0,226.0,228.0,5257600.0
2024-12-23,228.0,236.0,226.0,228.0,4089800.0
2024-12-24,230.0,236.0,224.0,232.0,3754800.0
2024-12-27,232.0,246.0,222.0,224.0,8030300.0
2024-12-30,222.0,260.0,220.0,246.0,25855100.0
2025-01-02,248.0,252.0,240.0,242.0,7652400.0
2025-01-03,242.0,248.0,226.0,230.0,9099800.0
2025-01-06,234.0,238.0,228.0,232.0,8434000.0
2025-01-07,234.0,246.0,228.0,240.0,12168000.0
2025-01-08,242.0,242.0,230.0,230.0,6365900.0
2025-01-09,230.0,240.0,230.0,234.0,3289100.0
2025-01-10,234.0,240.0,232.0,236.0,4585600.0
2025-01-13,236.0,238.0,226.0,228.0,7012100.0
2025-01-14,228.0,230.0,218.0,224.0,9101700.0
2025-01-15,224.0,230.0,220.0,220.0,5405000.0
2025-01-16,220.0,224.0,210.0,210.0,7667300.0
2025-01-17,210.0,212.0,202.0,204.0,4885200.0
2025-01-20,204.0,218.0,202.0,214.0,9088000.0
2025-01-21,216.0,248.0,212.0,240.0,43522900.0
2025-01-22,240.0,246.0,228.0,232.0,20420700.0
2025-01-23,232.0,236.0,224.0,224.0,5996900.0
2025-01-24,224.0,226.0,222.0,224.0,2190000.0
2025-01-30,230.0,234.0,224.0,228.0,3760700.0
2025-01-31,230.0,232.0,214.0,216.0,4331500.0
2025-02-03,216.0,224.0,216.0,224.0,2754900.0
2025-02-04,226.0,242.0,226.0,242.0,9931500.0
2025-02-05,242.0,260.0,240.0,248.0,18590100.0
2025-02-06,252.0,256.0,242.0,242.0,10101900.0
2025-02-07,248.0,264.0,230.0,260.0,23646000.0
2025-02-10,266.0,324.0,266.0,274.0,85716300.0
2025-02-11,274.0,336.0,274.0,332.0,70217700.0
2025-02-12,324.0,324.0,288.0,308.0,32345300.0
2025-02-13,316.0,334.0,308.0,318.0,36873100.0
2025-02-14,318.0,324.0,310.0,316.0,9086900.0
2025-02-17,320.0,334.0,300.0,300.0,24938800.0
2025-02-18,298.0,316.0,292.0,314.0,12470800.0
2025-02-19,318.0,326.0,314.0,318.0,10236000.0
2025-02-20,320.0,322.0,308.0,310.0,7871000.0
2025-02-21,310.0,354.0,310.0,344.0,53978600.0
2025-02-24,348.0,364.0,338.0,346.0,36203400.0
2025-02-25,360.0,360.0,322.0,326.0,19577000.0
2025-02-26,326.0,344.0,322.0,340.0,11925400.0
2025-02-27,342.0,350.0,298.0,328.0,22954700.0
2025-02-28,328.0,332.0,302.0,310.0,12880800.0
2025-03-03,314.0,338.0,312.0,330.0,9096100.0
2025-03-04,334.0,334.0,326.0,330.0,10445300.0
2025-03-05,330.0,344.0,330.0,342.0,10757400.0
2025-03-06,342.0,348.0,336.0,340.0,7424500.0
2025-03-07,344.0,358.0,340.0,352.0,13454800.0
2025-03-10,352.0,372.0,344.0,362.0,14611400.0
2025-03-11,362.0,362.0,322.0,340.0,16151800.0
2025-03-12,344.0,360.0,334.0,358.0,10630600.0
2025-03-13,360.0,376.0,352.0,376.0,17122400.0
2025-03-14,376.0,380.0,366.0,374.0,7878100.0
2025-03-17,376.0,388.0,372.0,380.0,8500100.0
2025-03-18,384.0,388.0,348.0,352.0,21819700.0
2025-03-19,350.0,362.0,342.0,356.0,7874100.0
2025-03-20,358.0,368.0,352.0,358.0,8677400.0
2025-03-21,362.0,364.0,352.0,358.0,4907000.0
2025-03-24,358.0,364.0,350.0,358.0,77031000.0
2025-03-25,360.0,376.0,360.0,374.0,6736300.0
2025-03-26,374.0,380.0,368.0,378.0,5084000.0
2025-03-27,380.0,382.0,368.0,376.0,3926300.0
2025-04-08,340.0,340.0,320.0,324.0,13531200.0
2025-04-09,326.0,338.0,326.0,332.0,5130800.0
2025-04-10,378.0,378.0,336.0,344.0,2892500.0
2025-04-11,340.0,340.0,330.0,334.0,3152400.0
2025-04-14,332.0,350.0,332.0,346.0,2161600.0
2025-04-15,348.0,364.0,346.0,364.0,4712000.0
2025-04-16,366.0,378.0,362.0,370.0,8515500.0
2025-04-17,376.0,386.0,362.0,376.0,6660900.0
2025-04-21,376.0,380.0,364.0,368.0,2650900.0
