symbol,name,sector,subsector,industry,subindustry,board
ALII,PT Ancara Logistics Indonesia Tbk,Energi,"Minyak, Gas & Batu Bara",Batu Bara,Distribusi Batu Bara,Utama
ALKA,Alakasa Industrindo Tbk,Barang Baku,Barang Baku,Logam & Mineral,Alumunium,Pemantauan Khusus
ALMI,Alumindo Light Metal Industry Tbk,Barang Baku,Barang Baku,Logam & Mineral,Alumunium,Pemantauan Khusus
ALTO,Tri Banyan Tirta Tbk,Barang Konsumen Primer,Makanan & Minuman,Minuman,Minuman Ringan,Pemantauan Khusus
AMAG,Asuransi Multi Artha Guna Tbk,Keuangan,Asuransi,Asuransi,Asuransi Umum,Utama
AMAN,PT Makmur Berkah Amanda Tbk.,Properti & Real Estat,Properti & Real Estat,Pengelola & Pengembang Real Estat,Pengembang & Operator Real Estat,Pengembangan
AMAR,PT Bank Amar Indonesia Tbk.,Keuangan,Bank,Bank,Bank,Utama
AMFG,Asahimas Flat Glass Tbk,Perindustrian,Barang Perindustrian,Produk & Perlengkapan Bangunan,Produk & Perlengkapan Bangunan,Pengembangan
AMIN,PT Ateliers Mecaniques D Indonesie Tbk.,Perindustrian,Barang Perindustrian,Mesin,Mesin & Komponen Perindustrian,Pengembangan
AMMN,PT Amman Mineral Internasional Tbk.,Barang Baku,Barang Baku,Logam & Mineral,Tembaga,Utama
AMMS,PT Agung Menjangan Mas Tbk,Barang Konsumen Primer,Makanan & Minuman,Produk Makanan Pertanian,"Ikan, Daging & Produk Unggas",Akselerasi
AMOR,PT Ashmore Asset Management Indonesia Tbk.,Keuangan,Jasa Investasi,Jasa Investasi,Manajemen Investasi,Pengembangan
AMRT,PT Sumber Alfaria Trijaya Tbk.,Barang Konsumen Primer,Perdagangan Ritel Barang Primer,Perdagangan Ritel Barang Primer,Supermarket,Utama
ANDI,PT Andira Agro Tbk,Barang Konsumen Primer,Makanan & Minuman,Produk Makanan Pertanian,Perkebunan & Tanaman Pangan,Pemantauan Khusus
ANJT,PT Austindo Nusantara Jaya Tbk.,Barang Konsumen Primer,Makanan & Minuman,Produk Makanan Pertanian,Perkebunan & Tanaman Pangan,Pengembangan
ANTM,PT ANTAM (Persero) Tbk,Barang Baku,Barang Baku,Logam & Mineral,Logam & Mineral Lainnya,Utama
APEX,Apexindo Pratama Duta Tbk,Energi,"Minyak, Gas & Batu Bara","Pendukung Minyak, Gas & Batu Bara",Jasa Pengeboran Minyak & Gas,Pengembangan
APIC,PACIFIC STRATEGIC FINANCIAL Tbk,Keuangan,Perusahaan Holding & Investasi,Perusahaan Holding & Investasi,Perusahaan Holding Keuangan,Pengembangan
APII,PT Arita Prima Indonesia Tbk.,Perindustrian,Barang Perindustrian,Mesin,Mesin & Komponen Perindustrian,Pengembangan
APLI,Asiaplast Industries Tbk,Barang Baku,Barang Baku,Barang Kimia,Barang Kimia Khusus,Pengembangan
APLN,PT Agung Podomoro Land Tbk.,Properti & Real Estat,Properti & Real Estat,Pengelola & Pengembang Real Estat,Pengembang & Operator Real Estat,Utama
ARCI,PT Archi Indonesia Tbk,Barang Baku,Barang Baku,Logam & Mineral,Emas,Pengembangan
AREA,PT Dunia Virtual Online Tbk,Teknologi,Perangkat Lunak & Jasa TI,Jasa & Konsultan TI,Jasa & Konsultan TI,Pengembangan
ARGO,Argo Pantes Tbk,Barang Konsumen Non-Primer,Pakaian & Barang Mewah,Pakaian & Barang Mewah,Tekstil,Pengembangan
ARII,Atlas Resources Tbk,Energi,"Minyak, Gas & Batu Bara",Batu Bara,Produksi Batu Bara,Pengembangan
ARKA,PT Arkha Jayanti Persada Tbk.,Perindustrian,Barang Perindustrian,Mesin,Mesin & Komponen Perindustrian,Pemantauan Khusus
ARKO,PT Arkora Hydro Tbk.,Infrastruktur,Utilitas,Utilitas Listrik,Utilitas Listrik,Pengembangan
ARMY,PT Armidian Karyatama Tbk,Properti & Real Estat,Properti & Real Estat,Pengelola & Pengembang Real Estat,Pengembang & Operator Real Estat,Pemantauan Khusus
ARNA,Arwana Citramulia Tbk,Perindustrian,Barang Perindustrian,Produk & Perlengkapan Bangunan,Produk & Perlengkapan Bangunan,Utama
ARTA,Arthavest Tbk,Barang Konsumen Non-Primer,Jasa Konsumen,Pariwisata & Rekreasi,"Hotel, Resor & Kapal Pesiar",Pengembangan
ARTI,Ratu Prabu Energi Tbk,Energi,"Minyak, Gas & Batu Bara","Pendukung Minyak, Gas & Batu Bara","Jasa & Perlengkapan Minyak, Gas & Batu Bara",Pemantauan Khusus
ARTO,PT Bank Jago Tbk.,Keuangan,Bank,Bank,Bank,Utama
ASBI,Asuransi Bintang Tbk,Keuangan,Asuransi,Asuransi,Asuransi Umum,Pengembangan
ASDM,Asuransi Dayin Mitra Tbk,Keuangan,Asuransi,Asuransi,Asuransi Umum,Pengembangan
ASGR,Astra Graphia Tbk,Perindustrian,Jasa Perindustrian,Jasa Komersial,Jasa Pendukung Bisnis,Utama
ASHA,PT Cilacap Samudera Fishing Industry Tbk,Barang Konsumen Primer,Makanan & Minuman,Produk Makanan Pertanian,"Ikan, Daging & Produk Unggas",Pengembangan
ASII,Astra International Tbk,Perindustrian,Perusahaan Holding Multi Sektor,Perusahaan Holding Multi-sektor,Perusahaan Holding Multi-sektor,Utama
ASJT,Asuransi Jasa Tania Tbk,Keuangan,Asuransi,Asuransi,Asuransi Umum,Pengembangan
ASLC,PT Autopedia Sukses Lestari Tbk,Barang Konsumen Non-Primer,Perdagangan Ritel,Ritel Khusus,Ritel Otomotif,Pengembangan
ASLI,PT Asri Karya Lestari Tbk.,Infrastruktur,Konstruksi Bangunan,Konstruksi Bangunan,Konstruksi Bangunan,Pengembangan
ASMI,PT Asuransi Maximus Graha Persada Tbk.,Keuangan,Asuransi,Asuransi,Asuransi Umum,Pemantauan Khusus
ASPI,PT Andalan Sakti Primaindo Tbk.,Properti & Real Estat,Properti & Real Estat,Pengelola & Pengembang Real Estat,Pengembang & Operator Real Estat,Pengembangan
ASPR,PT Asia Pramulia Tbk,Barang Baku,Barang Baku,Wadah & Kemasan,Wadah & Kemasan,Pengembangan
ASRI,ALAM SUTERA REALTY Tbk,Properti & Real Estat,Properti & Real Estat,Pengelola & Pengembang Real Estat,Pengembang & Operator Real Estat,Utama
ASRM,Asuransi Ramayana Tbk,Keuangan,Asuransi,Asuransi,Asuransi Umum,Pengembangan
ASSA,Adi Sarana Armada Tbk,Transportasi & Logistik,Transportasi,Pengangkutan Darat Penumpang,Transportasi Jalanan,Utama
ATAP,PT Trimitra Prawara Goldland Tbk,Properti & Real Estat,Properti & Real Estat,Pengelola & Pengembang Real Estat,Pengembang & Operator Real Estat,Pengembangan
ATIC,PT Anabatic Technologies Tbk,Teknologi,Perangkat Lunak & Jasa TI,Jasa & Konsultan TI,Jasa & Konsultan TI,Pengembangan
