symbol,name,sector,subsector,industry,subindustry,board
CASA,PT Capital Financial Indonesia Tbk,Keuangan,Perusahaan Holding & Investasi,Perusahaan Holding & Investasi,Perusahaan Holding Keuangan,Pengembangan
CASH,PT Cashlez Worldwide Indonesia Tbk.,Teknologi,Perangkat Lunak & Jasa TI,Aplikasi & Jasa Internet,Aplikasi & Jasa Internet,Akselerasi
CASS,Cahaya Aero Services Tbk,Infrastruktur,Infrastruktur Transportasi,Operator Infrastruktur Transportasi,Operator Bandar Udara,Utama
CBDK,PT Bangun Kosambi Sukses Tbk,Properti & Real Estat,Properti & Real Estat,Pengelola & Pengembang Real Estat,Pengembang & Operator Real Estat,Utama
CBMF,PT Cahaya Bintang Medan Tbk,Barang Konsumen Non-Primer,Barang Rumah Tangga,Barang Rumah Tangga,Produsen Furnitur Rumah,Pemantauan Khusus
CBPE,PT Citra Buana Prasida Tbk,Properti & Real Estat,Properti & Real Estat,Pengelola & Pengembang Real Estat,Pengembang & Operator Real Estat,Pengembangan
CBRE,PT Cakra Buana Resources Energi Tbk,Energi,"Minyak, Gas & Batu Bara",Batu Bara,Distribusi Batu Bara,Pengembangan
CBUT,PT Citra Borneo Utama Tbk,Barang Konsumen Primer,Makanan & Minuman,Produk Makanan Pertanian,Perkebunan & Tanaman Pangan,Utama
CCSI,PT Communication Cable Systems Indonesia Tbk.,Perindustrian,Barang Perindustrian,Kelistrikan,Komponen & Peralatan Kelistrikan,Pengembangan
CDIA,PT Chandra Daya Investasi Tbk,Infrastruktur,Utilitas,Utilitas Listrik,Utilitas Listrik,Pengembangan
CEKA,PT Wilmar Cahaya Indonesia Tbk.,Barang Konsumen Primer,Makanan & Minuman,Makanan Olahan,Makanan Olahan,Pengembangan
CENT,PT Centratama Telekomunikasi Indonesia Tbk.,Infrastruktur,Telekomunikasi,Jasa Telekomunikasi Nirkabel,Jasa Telekomunikasi Nirkabel,Pengembangan
CFIN,Clipan Finance Indonesia Tbk,Keuangan,Jasa Pembiayaan,Pembiayaan Konsumen,Pembiayaan Konsumen,Utama
CGAS,PT Citra Nusantara Gemilang Tbk.,Energi,"Minyak, Gas & Batu Bara",Minyak & Gas,Penyimpanan & Distribusi Minyak & Gas,Pengembangan
CHEK,PT Diastika Biotekindo Tbk,Kesehatan,Jasa & Peralatan Kesehatan,Peralatan & Perlengkapan Kesehatan,Penyedia & Distribusi Perlengkapan Kesehatan,Pengembangan
CHEM,PT Chemstar Indonesia Tbk,Barang Baku,Barang Baku,Barang Kimia,Barang Kimia Dasar,Pengembangan
CHIP,PT Pelita Teknologi Global Tbk,Teknologi,Perangkat Keras & Peralatan Teknologi,"Perangkat, Instrumen & Komponen Elektronik",Perangkat & Instrumen Elektronik,Akselerasi
CINT,PT Chitose Internasional Tbk,Barang Konsumen Non-Primer,Barang Rumah Tangga,Barang Rumah Tangga,Produsen Furnitur Rumah,Pengembangan
CITA,Cita Mineral Investindo Tbk,Barang Baku,Barang Baku,Logam & Mineral,Alumunium,Utama
CITY,PT Natura City Developments Tbk.,Properti & Real Estat,Properti & Real Estat,Pengelola & Pengembang Real Estat,Pengembang & Operator Real Estat,Pengembangan
CLAY,PT Citra Putra Realty Tbk,Barang Konsumen Non-Primer,Jasa Konsumen,Pariwisata & Rekreasi,"Hotel, Resor & Kapal Pesiar",Pengembangan
CLEO,PT Sariguna Primatirta Tbk,Barang Konsumen Primer,Makanan & Minuman,Minuman,Minuman Ringan,Utama
CLPI,Colorpak Indonesia Tbk,Barang Baku,Barang Baku,Barang Kimia,Barang Kimia Khusus,Pengembangan
CMNP,Citra Marga Nusaphala Persada Tbk,Infrastruktur,Infrastruktur Transportasi,Operator Infrastruktur Transportasi,Operator Jalan Tol & Rel,Utama
CMNT,PT Cemindo Gemilang Tbk,Barang Baku,Barang Baku,Material Konstruksi,Material Konstruksi,Pengembangan
CMPP,PT AirAsia Indonesia Tbk,Transportasi & Logistik,Transportasi,Maskapai Penerbangan,Maskapai Penerbangan,Pemantauan Khusus
CMRY,PT Cisarua Mountain Dairy Tbk,Barang Konsumen Primer,Makanan & Minuman,Makanan Olahan,Produk Susu Olahan,Utama
CNKO,Exploitasi Energi Indonesia Tbk,Energi,"Minyak, Gas & Batu Bara",Batu Bara,Distribusi Batu Bara,Pemantauan Khusus
CNMA,PT Nusantara Sejahtera Raya Tbk,Barang Konsumen Non-Primer,Jasa Konsumen,Pariwisata & Rekreasi,Fasilitas Rekreasi & Olah Raga,Pengembangan
COAL,PT Black Diamond Resources Tbk,Energi,"Minyak, Gas & Batu Bara",Batu Bara,Produksi Batu Bara,Pengembangan
COCO,PT Wahana Interfood Nusantara Tbk.,Barang Konsumen Primer,Makanan & Minuman,Makanan Olahan,Makanan Olahan,Pengembangan
COIN,PT Indokripto Koin Semesta Tbk,Keuangan,Perusahaan Holding & Investasi,Perusahaan Holding & Investasi,Perusahaan Holding Keuangan,Pengembangan
COWL,COWELL DEVELOPMENT Tbk,Properti & Real Estat,Properti & Real Estat,Pengelola & Pengembang Real Estat,Pengembang & Operator Real Estat,Pemantauan Khusus
CPIN,Charoen Pokphand Indonesia Tbk,Barang Konsumen Primer,Makanan & Minuman,Produk Makanan Pertanian,"Ikan, Daging & Produk Unggas",Utama
CPRI,PT Capri Nusa Satu Properti Tbk.,Properti & Real Estat,Properti & Real Estat,Pengelola & Pengembang Real Estat,Pengembang & Operator Real Estat,Pemantauan Khusus
CPRO,Central Proteina Prima Tbk,Barang Konsumen Primer,Makanan & Minuman,Produk Makanan Pertanian,"Ikan, Daging & Produk Unggas",Pengembangan
CRAB,PT Toba Surimi Industries Tbk,Barang Konsumen Primer,Makanan & Minuman,Produk Makanan Pertanian,"Ikan, Daging & Produk Unggas",Pengembangan
CRSN,PT Carsurin Tbk,Perindustrian,Jasa Perindustrian,Jasa Profesional,Jasa Penelitian & Konsultasi,Pengembangan
CSAP,Catur Sentosa Adiprana Tbk,Barang Konsumen Non-Primer,Perdagangan Ritel,Ritel Khusus,Ritel Barang Rumah Tangga,Pengembangan
CSIS,PT Cahayasakti Investindo Sukses Tbk,Properti & Real Estat,Properti & Real Estat,Pengelola & Pengembang Real Estat,Pengembang & Operator Real Estat,Pengembangan
CSMI,PT Cipta Selera Murni Tbk.,Barang Konsumen Non-Primer,Jasa Konsumen,Pariwisata & Rekreasi,Rumah Makan,Pengembangan
CSRA,PT Cisadane Sawit Raya Tbk.,Barang Konsumen Primer,Makanan & Minuman,Produk Makanan Pertanian,Perkebunan & Tanaman Pangan,Pengembangan
CTBN,Citra Tubindo Tbk,Barang Baku,Barang Baku,Logam & Mineral,Baja & Besi,Pengembangan
CTRA,Ciputra Development Tbk,Properti & Real Estat,Properti & Real Estat,Pengelola & Pengembang Real Estat,Pengembang & Operator Real Estat,Utama
CTTH,Citatah Tbk,Perindustrian,Barang Perindustrian,Produk & Perlengkapan Bangunan,Produk & Perlengkapan Bangunan,Pengembangan
CUAN,PT Petrindo Jaya Kreasi Tbk,Energi,"Minyak, Gas & Batu Bara",Batu Bara,Produksi Batu Bara,Utama
CYBR,PT ITSEC Asia Tbk.,Teknologi,Perangkat Lunak & Jasa TI,Jasa & Konsultan TI,Jasa & Konsultan TI,Pengembangan
DAAZ,PT Daaz Bara Lestari Tbk,Barang Baku,Barang Baku,Logam & Mineral,Logam & Mineral Lainnya,Utama
DADA,PT Diamond Citra Propertindo Tbk.,Properti & Real Estat,Properti & Real Estat,Pengelola & Pengembang Real Estat,Pengembang & Operator Real Estat,Pengembangan
DART,Duta Anggada Realty Tbk,Properti & Real Estat,Properti & Real Estat,Pengelola & Pengembang Real Estat,Pengembang & Operator Real Estat,Pengembangan
DATA,PT Remala Abadi Tbk,Infrastruktur,Telekomunikasi,Jasa Telekomunikasi,Jasa Telekomunikasi Kabel,Pengembangan
DAYA,PT Duta Intidaya Tbk.,Barang Konsumen Primer,Perdagangan Ritel Barang Primer,Perdagangan Ritel Barang Primer,Ritel & Distributor Obat-obatan,Pengembangan
DCII,PT DCI Indonesia Tbk,Teknologi,Perangkat Lunak & Jasa TI,Jasa & Konsultan TI,Jasa & Konsultan TI,Pengembangan
DEAL,PT Dewata Freightinternational Tbk.,Transportasi & Logistik,Logistik & Pengantaran,Logistik & Pengantaran,Logistik & Pengantaran,Pemantauan Khusus
DEFI,Danasupra Erapacific Tbk,Keuangan,Perusahaan Holding & Investasi,Perusahaan Holding & Investasi,Perusahaan Investasi,Pengembangan
DEPO,PT Caturkarda Depo Bangunan Tbk,Barang Konsumen Non-Primer,Perdagangan Ritel,Ritel Khusus,Ritel Barang Rumah Tangga,Pengembangan
DEWA,Darma Henwa Tbk,Energi,"Minyak, Gas & Batu Bara","Pendukung Minyak, Gas & Batu Bara","Jasa & Perlengkapan Minyak, Gas & Batu Bara",Utama
DEWI,PT Dewi Shri Farmindo Tbk,Barang Konsumen Primer,Makanan & Minuman,Produk Makanan Pertanian,"Ikan, Daging & Produk Unggas",Pengembangan
DFAM,PT Dafam Property Indonesia Tbk,Barang Konsumen Non-Primer,Jasa Konsumen,Pariwisata & Rekreasi,"Hotel, Resor & Kapal Pesiar",Pengembangan
DGIK,Nusa Konstruksi Enjiniring  Tbk,Infrastruktur,Konstruksi Bangunan,Konstruksi Bangunan,Konstruksi Bangunan,Pengembangan
DGNS,PT Diagnos Laboratorium Utama Tbk,Kesehatan,Jasa & Peralatan Kesehatan,Penyedia Jasa Kesehatan,Penyedia Jasa Kesehatan,Pengembangan
DGWG,PT Delta Giri Wacana Tbk,Barang Baku,Barang Baku,Barang Kimia,Barang Kimia Pertanian,Utama
DIGI,PT Arkadia Digital Media Tbk,Barang Konsumen Non-Primer,Media & Hiburan,Media,Penerbitan,Pemantauan Khusus
DILD,Intiland Development Tbk,Properti & Real Estat,Properti & Real Estat,Pengelola & Pengembang Real Estat,Pengembang & Operator Real Estat,Utama
DIVA,PT Distribusi Voucher Nusantara Tbk,Teknologi,Perangkat Lunak & Jasa TI,Aplikasi & Jasa Internet,Aplikasi & Jasa Internet,Pengembangan
DKFT,Central Omega Resources Tbk,Barang Baku,Barang Baku,Logam & Mineral,Logam & Mineral Lainnya,Utama
DKHH,PT Cipta Sarana Medika Tbk,Kesehatan,Jasa & Peralatan Kesehatan,Penyedia Jasa Kesehatan,Penyedia Jasa Kesehatan,Pengembangan
DLTA,Delta Djakarta Tbk,Barang Konsumen Primer,Makanan & Minuman,Minuman,Minuman Keras,Utama
DMAS,PT Puradelta Lestari Tbk.,Properti & Real Estat,Properti & Real Estat,Pengelola & Pengembang Real Estat,Pengembang & Operator Real Estat,Utama
DMMX,PT Digital Mediatama Maxima Tbk,Teknologi,Perangkat Lunak & Jasa TI,Jasa & Konsultan TI,Jasa & Konsultan TI,Pengembangan
DMND,PT Diamond Food Indonesia Tbk.,Barang Konsumen Primer,Perdagangan Ritel Barang Primer,Perdagangan Ritel Barang Primer,Ritel & Distributor Makanan,Utama
DNAR,PT Bank Oke Indonesia Tbk.,Keuangan,Bank,Bank,Bank,Pengembangan
DNET,PT Indoritel Makmur Internasional Tbk.,Keuangan,Perusahaan Holding & Investasi,Perusahaan Holding & Investasi,Perusahaan Investasi,Utama
DOID,PT BUMA Internasional Grup Tbk,Energi,"Minyak, Gas & Batu Bara","Pendukung Minyak, Gas & Batu Bara","Jasa & Perlengkapan Minyak, Gas & Batu Bara",Pengembangan
DOOH,PT Era Media Sejahtera Tbk,Barang Konsumen Non-Primer,Media & Hiburan,Media,Periklanan,Pengembangan
DOSS,PT Global Sukses Digital Tbk,Barang Konsumen Non-Primer,Barang Rekreasi,Barang Elektronik Konsumen,Barang Elektronik Konsumen,Pengembangan
DPNS,Duta Pertiwi Nusantara Tbk,Barang Baku,Barang Baku,Barang Kimia,Barang Kimia Khusus,Pengembangan
DPUM,PT Dua Putra Utama Makmur Tbk.,Barang Konsumen Primer,Makanan & Minuman,Produk Makanan Pertanian,"Ikan, Daging & Produk Unggas",Pengembangan
DRMA,PT Dharma Polimetal Tbk,Barang Konsumen Non-Primer,Otomotif & Komponen Otomotif,Komponen Otomotif,Suku Cadang Otomotif,Utama
DSFI,Dharma Samudera Fishing Ind. Tbk,Barang Konsumen Primer,Makanan & Minuman,Produk Makanan Pertanian,"Ikan, Daging & Produk Unggas",Pengembangan
DSNG,PT Dharma Satya Nusantara Tbk.,Barang Konsumen Primer,Makanan & Minuman,Produk Makanan Pertanian,Perkebunan & Tanaman Pangan,Utama
DSSA,Dian Swastatika Sentosa Tbk,Energi,"Minyak, Gas & Batu Bara",Batu Bara,Produksi Batu Bara,Utama
DUCK,PT Jaya Bersama Indo Tbk.,Barang Konsumen Non-Primer,Jasa Konsumen,Pariwisata & Rekreasi,Rumah Makan,Pemantauan Khusus
DUTI,Duta Pertiwi Tbk,Properti & Real Estat,Properti & Real Estat,Pengelola & Pengembang Real Estat,Pengembang & Operator Real Estat,Pemantauan Khusus
DVLA,Darya-Varia Laboratoria Tbk,Kesehatan,Farmasi & Riset Kesehatan,Farmasi,Farmasi,Pengembangan
DWGL,PT Dwi Guna Laksana Tbk,Energi,"Minyak, Gas & Batu Bara",Batu Bara,Distribusi Batu Bara,Pengembangan
DYAN,PT Dyandra Media International Tbk.,Perindustrian,Jasa Perindustrian,Jasa Komersial,Jasa Pendukung Bisnis,Pengembangan
EAST,PT Eastparc Hotel Tbk,Barang Konsumen Non-Primer,Jasa Konsumen,Pariwisata & Rekreasi,"Hotel, Resor & Kapal Pesiar",Pengembangan
ECII,PT Electronic City Indonesia Tbk.,Barang Konsumen Non-Primer,Perdagangan Ritel,Ritel Khusus,Ritel Elektronik,Pengembangan
EDGE,PT Indointernet Tbk.,Teknologi,Perangkat Lunak & Jasa TI,Aplikasi & Jasa Internet,Jasa & Konsultan TI,Pengembangan
EKAD,Ekadharma International Tbk,Barang Baku,Barang Baku,Barang Kimia,Barang Kimia Khusus,Pengembangan
ELIT,PT Data Sinergitama Jaya Tbk,Teknologi,Perangkat Lunak & Jasa TI,Jasa & Konsultan TI,Jasa & Konsultan TI,Pengembangan
ELPI,PT Pelayaran Nasional Ekalya Purnamasari Tbk,Transportasi & Logistik,Logistik & Pengantaran,Logistik & Pengantaran,Logistik & Pengantaran,Utama
ELSA,Elnusa Tbk,Energi,"Minyak, Gas & Batu Bara","Pendukung Minyak, Gas & Batu Bara",Jasa Pengeboran Minyak & Gas,Utama
ELTY,Bakrieland Development Tbk,Properti & Real Estat,Properti & Real Estat,Pengelola & Pengembang Real Estat,Pengembang & Operator Real Estat,Pemantauan Khusus
EMAS,PT Merdeka Gold Resources Tbk,Barang Baku,Barang Baku,Logam & Mineral,Emas,Pengembangan
EMDE,Megapolitan Developments Tbk,Properti & Real Estat,Properti & Real Estat,Pengelola & Pengembang Real Estat,Pengembang & Operator Real Estat,Pengembangan
EMMI,PT Esa Medika Mandiri Tbk,Kesehatan,Jasa & Peralatan Kesehatan,Peralatan & Perlengkapan Kesehatan,Peralatan Kesehatan,Pengembangan
EMTK,Elang Mahkota Teknologi Tbk,Teknologi,Perangkat Lunak & Jasa TI,Aplikasi & Jasa Internet,Aplikasi & Jasa Internet,Utama
ENAK,PT Champ Resto Indonesia Tbk,Barang Konsumen Non-Primer,Jasa Konsumen,Pariwisata & Rekreasi,Rumah Makan,Pengembangan
ENRG,Energi Mega Persada Tbk,Energi,"Minyak, Gas & Batu Bara",Minyak & Gas,Produksi & Penyulingan Minyak & Gas,Utama
ENVY,PT Envy Technologies Indonesia Tbk,Teknologi,Perangkat Lunak & Jasa TI,Jasa & Konsultan TI,Jasa & Konsultan TI,Pemantauan Khusus
ENZO,PT Morenzo Abadi Perkasa Tbk,Barang Konsumen Primer,Makanan & Minuman,Produk Makanan Pertanian,"Ikan, Daging & Produk Unggas",Pengembangan
EPAC,PT Megalestari Epack Sentosaraya Tbk.,Barang Baku,Barang Baku,Wadah & Kemasan,Wadah & Kemasan,Pengembangan
EPMT,Enseval Putera Megatrading Tbk,Barang Konsumen Primer,Perdagangan Ritel Barang Primer,Perdagangan Ritel Barang Primer,Ritel & Distributor Obat-obatan,Utama
ERAA,Erajaya Swasembada Tbk,Barang Konsumen Non-Primer,Perdagangan Ritel,Ritel Khusus,Ritel Elektronik,Utama
ERAL,PT Sinar Eka Selaras Tbk,Barang Konsumen Non-Primer,Perdagangan Ritel,Ritel Khusus,Ritel Elektronik,Utama
ERTX,Eratex Djaja Tbk,Barang Konsumen Non-Primer,Pakaian & Barang Mewah,Pakaian & Barang Mewah,"Pakaian, Aksesoris, & Tas",Pengembangan
ESIP,PT Sinergi Inti Plastindo Tbk.,Barang Baku,Barang Baku,Wadah & Kemasan,Wadah & Kemasan,Pengembangan
ESSA,ESSA Industries Indonesia Tbk,Barang Baku,Barang Baku,Barang Kimia,Barang Kimia Dasar,Utama
ESTA,PT Esta Multi Usaha Tbk.,Barang Konsumen Non-Primer,Jasa Konsumen,Pariwisata & Rekreasi,"Hotel, Resor & Kapal Pesiar",Pengembangan
ESTI,Ever Shine Textile Industry Tbk,Barang Konsumen Non-Primer,Pakaian & Barang Mewah,Pakaian & Barang Mewah,Tekstil,Pengembangan
ETWA,Eterindo Wahanatama Tbk,Barang Baku,Barang Baku,Barang Kimia,Barang Kimia Dasar,Pemantauan Khusus
EURO,PT Estee Gold Feet Tbk,Barang Konsumen Primer,Produk Rumah Tangga Tidak Tahan Lama,Produk Perawatan Tubuh,Produk Perawatan Tubuh,Akselerasi
EXCL,PT XLSMART Telecom Sejahtera Tbk,Infrastruktur,Telekomunikasi,Jasa Telekomunikasi Nirkabel,Jasa Telekomunikasi Nirkabel,Utama
FAPA,PT FAP Agri Tbk,Barang Konsumen Primer,Makanan & Minuman,Produk Makanan Pertanian,Perkebunan & Tanaman Pangan,Pengembangan
FAST,PT Fast Food Indonesia Tbk,Barang Konsumen Non-Primer,Jasa Konsumen,Pariwisata & Rekreasi,Rumah Makan,Pengembangan
FASW,Fajar Surya Wisesa Tbk,Barang Baku,Barang Baku,Wadah & Kemasan,Wadah & Kemasan,Pemantauan Khusus
FILM,PT MD Entertainment Tbk,Barang Konsumen Non-Primer,Media & Hiburan,Hiburan & Film,Hiburan & Film,Utama
FIMP,PT Fimperkasa Utama Tbk,Infrastruktur,Konstruksi Bangunan,Konstruksi Bangunan,Konstruksi Bangunan,Pemantauan Khusus
FIRE,PT Alfa Energi Investama Tbk.,Energi,"Minyak, Gas & Batu Bara",Batu Bara,Distribusi Batu Bara,Pengembangan
FISH,FKS Multi Agro Tbk,Barang Konsumen Primer,Makanan & Minuman,Produk Makanan Pertanian,Perkebunan & Tanaman Pangan,Utama
FITT,PT Hotel Fitra International Tbk,Barang Konsumen Non-Primer,Jasa Konsumen,Pariwisata & Rekreasi,"Hotel, Resor & Kapal Pesiar",Pengembangan
FLMC,PT Falmaco Nonwoven Industri Tbk,Barang Konsumen Primer,Produk Rumah Tangga Tidak Tahan Lama,Produk Perawatan Tubuh,Produk Perawatan Tubuh,Akselerasi
FMII,Fortune Mate Indonesia Tbk,Properti & Real Estat,Properti & Real Estat,Pengelola & Pengembang Real Estat,Pengembang & Operator Real Estat,Pengembangan
FOLK,PT Multi Garam Utama Tbk.,Perindustrian,Perusahaan Holding Multi Sektor,Perusahaan Holding Multi-sektor,Perusahaan Holding Multi-sektor,Pengembangan
FOOD,PT Sentra Food Indonesia Tbk.,Barang Konsumen Primer,Makanan & Minuman,Makanan Olahan,Makanan Olahan,Pemantauan Khusus
FORE,PT Fore Kopi Indonesia Tbk,Barang Konsumen Primer,Makanan & Minuman,Minuman,Minuman Ringan,Pengembangan
FORU,Fortune Indonesia Tbk,Barang Konsumen Non-Primer,Media & Hiburan,Media,Periklanan,Pengembangan
FPNI,PT Lotte Chemical Titan Tbk.,Barang Baku,Barang Baku,Barang Kimia,Barang Kimia Dasar,Pengembangan
FUJI,PT Fuji Finance Indonesia Tbk.,Keuangan,Jasa Pembiayaan,Pembiayaan Konsumen,Pembiayaan Konsumen,Pengembangan
FUTR,PT Futura Energi Global Tbk,Barang Konsumen Non-Primer,Media & Hiburan,Media,Periklanan,Pengembangan
FWCT,PT Wijaya Cahaya Timber Tbk,Barang Baku,Barang Baku,Perhutanan & Kertas,Kayu,Pengembangan
GAMA,Aksara Global Development Tbk,Properti & Real Estat,Properti & Real Estat,Pengelola & Pengembang Real Estat,Pengembang & Operator Real Estat,Pemantauan Khusus
GDST,Gunawan Dianjaya Steel Tbk,Barang Baku,Barang Baku,Logam & Mineral,Baja & Besi,Pengembangan
GDYR,Goodyear Indonesia Tbk,Barang Konsumen Non-Primer,Otomotif & Komponen Otomotif,Komponen Otomotif,Ban,Pengembangan
GEMA,Gema Grahasarana Tbk,Barang Konsumen Non-Primer,Barang Rumah Tangga,Barang Rumah Tangga,Produsen Furnitur Rumah,Pengembangan
GEMS,Golden Energy Mines Tbk,Energi,"Minyak, Gas & Batu Bara",Batu Bara,Produksi Batu Bara,Utama
GGRM,Gudang Garam Tbk,Barang Konsumen Primer,Rokok,Rokok,Rokok,Utama
GGRP,PT Gunung Raja Paksi Tbk.,Barang Baku,Barang Baku,Logam & Mineral,Baja & Besi,Pengembangan
GHON,PT Gihon Telekomunikasi Indonesia Tbk,Infrastruktur,Telekomunikasi,Jasa Telekomunikasi Nirkabel,Jasa Telekomunikasi Nirkabel,Pengembangan
GIAA,Garuda Indonesia (Persero) Tbk,Transportasi & Logistik,Transportasi,Maskapai Penerbangan,Maskapai Penerbangan,Pengembangan
GJTL,Gajah Tunggal Tbk,Barang Konsumen Non-Primer,Otomotif & Komponen Otomotif,Komponen Otomotif,Ban,Utama
GLOB,PT Globe Kita Terang Tbk,Barang Konsumen Non-Primer,Perdagangan Ritel,Ritel Khusus,Ritel Elektronik,Pemantauan Khusus
GLVA,PT Galva Technologies Tbk,Teknologi,Perangkat Keras & Peralatan Teknologi,"Perangkat, Instrumen & Komponen Elektronik",Perangkat & Instrumen Elektronik,Utama
GMFI,PT Garuda Maintenance Facility Aero Asia Tbk.,Infrastruktur,Infrastruktur Transportasi,Operator Infrastruktur Transportasi,Operator Bandar Udara,Pengembangan
GMTD,Gowa Makassar Tourism Development Tbk,Properti & Real Estat,Properti & Real Estat,Pengelola & Pengembang Real Estat,Pengembang & Operator Real Estat,Pengembangan
GOLD,PT Visi Telekomunikasi Infrastruktur Tbk.,Infrastruktur,Telekomunikasi,Jasa Telekomunikasi Nirkabel,Jasa Telekomunikasi Nirkabel,Pengembangan
GOLF,PT Intra GolfLink Resorts Tbk,Barang Konsumen Non-Primer,Jasa Konsumen,Pariwisata & Rekreasi,Fasilitas Rekreasi & Olah Raga,Utama
GOLL,PT Golden Plantation Tbk,Barang Konsumen Primer,Makanan & Minuman,Produk Makanan Pertanian,Perkebunan & Tanaman Pangan,Pemantauan Khusus
GOOD,PT Garudafood Putra Putri Jaya Tbk.,Barang Konsumen Primer,Makanan & Minuman,Makanan Olahan,Makanan Olahan,Utama
GOTO,PT GoTo Gojek Tokopedia Tbk,Teknologi,Perangkat Lunak & Jasa TI,Aplikasi & Jasa Internet,Aplikasi & Jasa Internet,Pengembangan
GPRA,Perdana Gapura Prima Tbk,Properti & Real Estat,Properti & Real Estat,Pengelola & Pengembang Real Estat,Pengembang & Operator Real Estat,Pengembangan
GPSO,PT Geoprima Solusi Tbk,Perindustrian,Barang Perindustrian,Mesin,Mesin & Komponen Perindustrian,Pengembangan
GRIA,PT Ingria Pratama Capitalindo Tbk,Properti & Real Estat,Properti & Real Estat,Pengelola & Pengembang Real Estat,Pengembang & Operator Real Estat,Pengembangan
GRPH,PT Griptha Putra Persada Tbk.,Barang Konsumen Non-Primer,Jasa Konsumen,Pariwisata & Rekreasi,"Hotel, Resor & Kapal Pesiar",Pengembangan
GRPM,PT Graha Prima Mentari Tbk.,Barang Konsumen Primer,Makanan & Minuman,Minuman,Minuman Ringan,Akselerasi
GSMF,Equity Development Investment Tbk,Keuangan,Perusahaan Holding & Investasi,Perusahaan Holding & Investasi,Perusahaan Holding Keuangan,Pengembangan
GTBO,Garda Tujuh Buana Tbk,Energi,"Minyak, Gas & Batu Bara",Batu Bara,Produksi Batu Bara,Pengembangan
GTRA,PT Grahaprima Suksesmandiri Tbk,Transportasi & Logistik,Logistik & Pengantaran,Logistik & Pengantaran,Logistik & Pengantaran,Pengembangan
GTSI,PT GTS Internasional Tbk,Energi,"Minyak, Gas & Batu Bara",Minyak & Gas,Penyimpanan & Distribusi Minyak & Gas,Pengembangan
GULA,PT Aman Agrindo Tbk,Barang Konsumen Primer,Makanan & Minuman,Makanan Olahan,Makanan Olahan,Pengembangan
GUNA,PT Gunanusa Eramandiri Tbk,Barang Konsumen Primer,Makanan & Minuman,Produk Makanan Pertanian,Perkebunan & Tanaman Pangan,Pengembangan
GWSA,PT Greenwood Sejahtera Tbk,Barang Konsumen Non-Primer,Jasa Konsumen,Pariwisata & Rekreasi,"Hotel, Resor & Kapal Pesiar",Pengembangan
GZCO,Gozco Plantations Tbk,Barang Konsumen Primer,Makanan & Minuman,Produk Makanan Pertanian,Perkebunan & Tanaman Pangan,Utama
HADE,PT Himalaya Energi Perkasa Tbk,Infrastruktur,Utilitas,Utilitas Gas,Utilitas Gas,Pemantauan Khusus
HAIS,PT Hasnur Internasional Shipping Tbk,Transportasi & Logistik,Logistik & Pengantaran,Logistik & Pengantaran,Logistik & Pengantaran,Pengembangan
HAJJ,PT Arsy Buana Travelindo Tbk,Barang Konsumen Non-Primer,Jasa Konsumen,Pariwisata & Rekreasi,Agen Perjalanan,Akselerasi
HALO,PT Haloni Jane Tbk,Kesehatan,Jasa & Peralatan Kesehatan,Peralatan & Perlengkapan Kesehatan,Penyedia & Distribusi Perlengkapan Kesehatan,Pengembangan
HATM,PT Habco Trans Maritima Tbk,Transportasi & Logistik,Logistik & Pengantaran,Logistik & Pengantaran,Logistik & Pengantaran,Utama
HBAT,PT Minahasa Membangun Hebat Tbk,Properti & Real Estat,Properti & Real Estat,Pengelola & Pengembang Real Estat,Pengembang & Operator Real Estat,Akselerasi
HDFA,Radana Bhaskara Finance Tbk,Keuangan,Jasa Pembiayaan,Pembiayaan Konsumen,Pembiayaan Konsumen,Pengembangan
HDIT,PT Hensel Davest Indonesia Tbk,Teknologi,Perangkat Lunak & Jasa TI,Aplikasi & Jasa Internet,Aplikasi & Jasa Internet,Utama
HEAL,PT Medikaloka Hermina Tbk.,Kesehatan,Jasa & Peralatan Kesehatan,Penyedia Jasa Kesehatan,Penyedia Jasa Kesehatan,Utama
HELI,PT Jaya Trishindo Tbk,Transportasi & Logistik,Transportasi,Maskapai Penerbangan,Maskapai Penerbangan,Pengembangan
HERO,PT DFI Retail Nusantara Tbk,Barang Konsumen Primer,Perdagangan Ritel Barang Primer,Perdagangan Ritel Barang Primer,Supermarket,Utama
HEXA,Hexindo Adiperkasa Tbk,Perindustrian,Barang Perindustrian,Mesin,Mesin Konstruksi & Kendaraan Berat,Utama
HGII,PT Hero Global Investment Tbk,Infrastruktur,Utilitas,Utilitas Listrik,Utilitas Listrik,Pengembangan
HILL,PT Hillcon Tbk,Energi,"Minyak, Gas & Batu Bara","Pendukung Minyak, Gas & Batu Bara","Jasa & Perlengkapan Minyak, Gas & Batu Bara",Pemantauan Khusus
HITS,Humpuss Intermoda Transportasi Tbk,Energi,"Minyak, Gas & Batu Bara",Minyak & Gas,Penyimpanan & Distribusi Minyak & Gas,Pemantauan Khusus
HKMU,PT HK Metals Utama Tbk,Barang Baku,Barang Baku,Logam & Mineral,Alumunium,Pemantauan Khusus
HMSP,HM Sampoerna Tbk,Barang Konsumen Primer,Rokok,Rokok,Rokok,Utama
HOKI,PT Buyung Poetra Sembada Tbk.,Barang Konsumen Primer,Makanan & Minuman,Makanan Olahan,Makanan Olahan,Pengembangan
